ticker,metric,period_end,period_type,value,unit,fy,fp,form,source,retrieved
QCOM,revenue,2021-12-26,Q,10705000000,USD,2023,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2022-03-27,Q,11164000000,USD,2023,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2022-06-26,Q,10936000000,USD,2023,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2022-09-25,A,44200000000,USD,2024,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2022-12-25,Q,9463000000,USD,2024,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2023-03-26,Q,9275000000,USD,2024,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2023-06-25,Q,8451000000,USD,2024,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2023-09-24,A,35820000000,USD,2025,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2023-12-24,Q,9935000000,USD,2025,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2024-03-24,Q,9389000000,USD,2025,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2024-06-23,Q,9393000000,USD,2025,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2024-09-29,A,38962000000,USD,2025,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2024-12-29,Q,11669000000,USD,2026,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2025-03-30,Q,10979000000,USD,2026,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2025-06-29,Q,10365000000,USD,2025,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2025-09-28,A,44284000000,USD,2025,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2025-12-28,Q,12252000000,USD,2026,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2026-03-29,Q,10599000000,USD,2026,Q2,10-Q,SEC EDGAR,2026-06-15
RNR,eps,2008-12-31,A,-0.21,USD/shares,2010,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2009-06-30,Q,4.32,USD/shares,2010,Q2,10-Q,SEC EDGAR,2026-06-15
RNR,eps,2009-09-30,Q,4.12,USD/shares,2010,Q3,10-Q,SEC EDGAR,2026-06-15
RNR,eps,2009-12-31,A,13.4,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2010-03-31,Q,2.73,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2010-06-30,Q,3.66,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2010-09-30,Q,3.7,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
