name,asset_class,asset_subclass,region,country_market,sector_style,market_cap_focus,maturity_focus,credit_quality,commodity_group,base_currency,hedged,hedge_currency,proxy_flag,proxy_type,data_source,validation_status,ticker_yfinance_pr,ticker_yfinance_tr,ticker_investiny,ticker_fred_tr,ticker_fred_yield,ticker_fred_oas,ticker_fred_spread,ticker_fred_duration,data_start
Tadawul All Share Index (Saudi),Equity,Equity Broad,Middle East & Africa,Saudi Arabia,N/A,Broad,N/A,N/A,N/A,SAR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^TASI.SR,,,,,,,,19/10/1998
FTSE/JSE All Share,Equity,Equity Broad,Middle East & Africa,South Africa,N/A,Broad,N/A,N/A,N/A,ZAR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^J203.JO,,,,,,,,08/02/2012
FTSE/JSE Top 40,Equity,,Middle East & Africa,South Africa,N/A,N/A,N/A,N/A,N/A,ZAR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^J200.JO,STX40.JO,,,,,,,30/06/1995
Borsa Istanbul 100,Equity,,Europe,Turkey,N/A,N/A,N/A,N/A,N/A,TRY,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,XU100.IS,,,,,,,,01/07/1997
Borsa Istanbul 30,Equity,,Europe,Turkey,N/A,N/A,N/A,N/A,N/A,TRY,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,XU030.IS,,,,,,,,02/01/1997
MERVAL (Argentina),Equity,,Latin America,Argentina,N/A,N/A,N/A,N/A,N/A,ARS,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^MERV,,,,,,,,08/10/1996
Euro Stoxx 50,Equity,Equity Large Cap,Europe,Developed Europe,N/A,Large,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^STOXX50E,FEZ,,,,,,,30/03/2007
STOXX Europe 600,Equity,Equity Broad,Europe,Developed Europe,N/A,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^STOXX,EXSA.DE,,,,,,,26/04/2004
STOXX Europe 600 Banks,Equity,Equity Sector,Europe,Europe,N/A,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SX7E,EXV1.DE,,,,,,,02/01/2008
STOXX Europe 600 Health Care,Equity,Equity Sector,Europe,Europe,Health Care,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SXDP,EXV4.DE,,,,,,,02/01/2008
STOXX Europe 600 Technology,Equity,Equity Sector,Europe,Europe,Information Technology,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SX8P,EXV3.DE,,,,,,,02/01/2008
STOXX Europe 600 Energy,Equity,Equity Sector,Europe,Europe,Energy,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SXEP,EXH1.DE,,,,,,,02/01/2008
STOXX Europe 600 Industrials,Equity,Equity Sector,Europe,Europe,Industrials,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SXNP,EXH4.DE,,,,,,,02/01/2008
STOXX Europe 600 Consumer Staples,Equity,Equity Sector,Europe,Europe,Consumer Staples,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SX3P,EXH3.DE,,,,,,,02/01/2008
STOXX Europe 600 Utilities,Equity,Equity Sector,Europe,Europe,Utilities,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SX6P,EXH9.DE,,,,,,,02/01/2008
STOXX Europe 600 Telecom,Equity,Equity Broad,Europe,Europe,N/A,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SXKP,EXV2.DE,,,,,,,02/01/2008
STOXX Europe 600 Real Estate,Equity,Equity Sector,Europe,Europe,Real Estate,Broad,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SX4P,EXI5.DE,,,,,,,02/01/2008
iShares MSCI ACWI ETF,Equity,Equity Broad,Global,Global,N/A,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,ACWI,,,,,,,28/03/2008
iShares MSCI World ETF,Equity,Equity Broad,Global,Global,N/A,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,URTH,,,,,,,12/01/2012
iShares MSCI Emerging Markets ETF,Equity,Equity Broad,Emerging Markets,Emerging Markets,Blend,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,EEM,,,,,,,14/04/2003
iShares MSCI Japan ETF,Equity,Equity Broad,Japan,Japan,Blend,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,EWJ,,,,,,,18/03/1996
iShares MSCI All Country Asia ex Japan ETF,Equity,Equity Broad,Asia ex Japan,Asia ex Japan,Blend,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,AAXJ,,,,,,,15/08/2008
iShares MSCI Eurozone ETF (MSCI Europe ex UK proxy),Equity,Equity Broad,Europe,Europe,Blend,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,EZU,,,,,,,31/07/2000
S&P 500 Capital Goods,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-2010,,,,,,,,07/01/2000
S&P 500 Commercial & Professional Services,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-2020,,,,,,,,29/02/2000
S&P 500 Transportation,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-2030,,,,,,,,07/01/2000
S&P 500 Automobiles & Components,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-2510,,,,,,,,07/01/2000
S&P 500 Consumer Durables & Apparel,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-2520,,,,,,,,07/01/2000
S&P 500 Consumer Services,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-2530,,,,,,,,07/01/2000
S&P 500 Consumer Discretionary Distribution & Retail,Equity,Equity Industry Group,North America,United States,Consumer Discretionary,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-2550,,,,,,,,27/12/1994
S&P 500 Food & Staples Retailing,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-3010,,,,,,,,07/01/2000
S&P 500 Food Beverage & Tobacco,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-3020,,,,,,,,07/01/2000
S&P 500 Household & Personal Products,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-3030,,,,,,,,22/02/2000
S&P 500 Health Care Equipment & Services,Equity,Equity Industry Group,North America,United States,Health Care,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-3510,,,,,,,,07/01/2000
S&P 500 Pharma Biotech & Life Sciences,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-3520,,,,,,,,07/01/2000
S&P 500 Banks,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-4010,,,,,,,,27/12/1994
S&P 500 Financial Services,Equity,Equity Industry Group,North America,United States,Financials,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-4020,,,,,,,,07/01/2000
S&P 500 Insurance,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-4030,,,,,,,,27/12/1994
S&P 500 Software & Services,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-4510,,,,,,,,07/01/2000
S&P 500 Technology Hardware & Equipment,Equity,Equity Industry Group,North America,United States,Information Technology,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-4520,,,,,,,,07/01/2000
S&P 500 Semiconductors & Equipment,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-4530,,,,,,,,02/05/2003
S&P 500 Telecommunication Services,Equity,Equity Industry Group,North America,United States,Communication Services,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-5010,,,,,,,,30/12/1994
S&P 500 Media & Entertainment,Equity,Equity Industry Group,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500-5020,,,,,,,,07/01/2000
S&P 500 Equity Real Estate Investment Trusts,Equity,Equity Industry Group,North America,United States,Real Estate,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,UNAVAILABLE,^SP500-6020,,,,,,,,
Nifty IT,Equity,,Asia Pacific,India,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXIT,,,,,,,,17/09/2007
Nifty Auto,Equity,,Asia Pacific,India,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXAUTO,,,,,,,,12/07/2011
